Tournament,Season,Format,Team_Name,Team_ID,Division_ID,Final_Position,Finish_Type,Position,Champion,Runner_Up,Division_Position,Pool_Label,Matches_Played,Wins,Losses,Ties,No_Results,Points,Net_Run_Rate
CSA Women's Provincial T20 Competition 2012/13,12/13,T20,Boland,BOLA,D1,,ELIMINATED_POOL_STAGE,2,0,0,2,Group A,2,1,1,0,0,5,0.325
CSA Women's Provincial League 2012/13,12/13,List A,Boland,BOLA,D1,,ELIMINATED_POOL_STAGE,2,0,0,2,West/East,10,7,2,0,1,37,2.484
CSA Women's Provincial T20 Competition 2012/13,12/13,T20,Dolphins,DOLP,D1,,ELIMINATED_POOL_STAGE,2,0,0,2,Group C,3,2,1,0,0,10,1.338
CSA Women's Provincial League 2012/13,12/13,List A,Dolphins,DOLP,D1,,SEMI_FINALIST,1,0,0,1,Central,8,6,1,0,1,32,1.264
CSA Women's Provincial T20 Competition 2012/13,12/13,T20,Dragons,DRAG,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Group D,5,3,1,0,0,16,2.486
CSA Women's Provincial League 2012/13,12/13,List A,Dragons,DRAG,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Central,8,5,3,0,0,25,2.008
CSA Women's Provincial T20 Competition 2012/13,12/13,T20,Eastern Storm,STOR,D1,,ELIMINATED_POOL_STAGE,4,0,0,4,Group D,5,2,3,0,0,9,-1.199
CSA Women's Provincial League 2012/13,12/13,List A,Eastern Storm,STOR,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Highveld,8,5,3,0,0,25,0.586
CSA Women's Provincial T20 Competition 2012/13,12/13,T20,Heat,HEAT,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Group C,3,1,2,0,0,5,-0.113
CSA Women's Provincial League 2012/13,12/13,List A,Heat,HEAT,D1,,ELIMINATED_POOL_STAGE,4,0,0,4,Central,8,2,5,0,0,10,-1.776
CSA Women's Provincial T20 Competition 2012/13,12/13,T20,Iinyathi,IINY,D1,3,THIRD_PLACE,3,0,0,1,Group B,2,1,0,0,0,7,1.783
CSA Women's Provincial League 2012/13,12/13,List A,Iinyathi,IINY,D1,,ELIMINATED_POOL_STAGE,5,0,0,5,West/East,10,2,7,0,0,11,-0.534
CSA Women's Provincial T20 Competition 2012/13,12/13,T20,Kei,KEI,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Group B,2,0,1,0,0,2,-7.9
